objid,ra,dec,u,g,r,i,z,class,redshift,velDisp,velDispErr
1237671768005607766,257.87354792097,63.814710420419,20.57949,18.58144,17.48582,16.96906,16.51448,GALAXY,0.1195576,174.7896,12.97537
1237671768005607778,257.873506092696,63.8660365581575,19.14653,17.14761,16.13539,15.64191,15.25198,GALAXY,0.08918818,202.9471,6.601349
1237671768542609650,258.321323555064,64.1936432947059,19.53972,17.56822,16.61968,16.17627,15.79884,GALAXY,0.08411482,185.2182,6.910577
1237671939804561772,257.999038988698,63.9649833715366,20.18821,18.28806,17.39219,16.97444,16.68378,GALAXY,0.07821907,94.99586,11.69504
1237671768542544161,257.934292535865,64.112136003604,18.43226,17.00381,16.39649,16.04041,15.81141,GALAXY,0.08332978,106.8988,10.01145
1237671939804627262,258.272812928128,64.0912234312119,19.88471,17.66265,16.70019,16.24949,15.89843,GALAXY,0.08216956,202.8096,8.265947
1237671939804627462,258.450774883862,64.0203684229166,19.50511,17.60235,16.65466,16.21887,15.87164,GALAXY,0.08206038,169.3851,7.341709
1237671768542609778,258.450949396789,64.1472295684453,20.25466,18.33817,17.37171,16.95145,16.61527,GALAXY,0.0953292,173.1343,8.977509
1237671940341498002,258.188057555443,64.3519672192573,19.35166,17.52025,16.72831,16.37829,16.10204,GALAXY,0.07649134,107.7102,6.988682
1237671939804627464,258.449947985156,64.0259169778807,20.05634,18.37335,17.51488,17.13108,16.85505,GALAXY,0.0718016,92.08832,8.774866
1237671939804561964,258.141963755811,64.0971865576797,18.70765,17.85798,17.73391,17.49046,17.52496,GALAXY,0.07617816,110.8242,38.37913
